Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,"Life expectancy at birth, total (years)",60.851,61.419,61.923,62.417,62.545,62.659,63.136,63.016,63.081,63.565,62.575,61.982,62.879,62.879
Angola,AGO,"Life expectancy at birth, total (years)",56.726,57.596,58.623,59.307,60.04,60.655,61.092,61.68,62.144,62.448,62.261,61.643,61.929,61.929
Albania,ALB,"Life expectancy at birth, total (years)",77.936,78.092,78.064,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989,76.463,76.833,76.833
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",78.334,78.517,78.716,78.853,79.044,79.223,79.335,79.504,79.627,79.726,78.946,78.71,79.196,79.196
Argentina,ARG,"Life expectancy at birth, total (years)",75.721,76.124,76.467,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,75.39,76.064,76.064
Armenia,ARM,"Life expectancy at birth, total (years)",73.16,73.305,73.454,73.676,74.058,74.436,74.664,74.906,75.064,75.439,72.173,72.043,73.372,73.372
Australia,AUS,"Life expectancy at birth, total (years)",81.6951219512195,81.8951219512195,82.0463414634146,82.1487804878049,82.3,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3,83.2,83.2
Austria,AUT,"Life expectancy at birth, total (years)",80.5804878048781,80.9829268292683,80.9365853658537,81.1365853658537,81.490243902439,81.190243902439,81.6414634146342,81.6439024390244,81.6926829268293,81.8951219512195,81.1926829268293,81.190243902439,81.0926829268293,81.0926829268293
Azerbaijan,AZE,"Life expectancy at birth, total (years)",69.529,69.984,70.36,70.881,71.116,71.451,72.004,72.248,72.76,73.102,66.868,69.366,73.488,73.488
Burundi,BDI,"Life expectancy at birth, total (years)",57.081,57.769,58.493,59.235,59.868,60.217,60.793,61.553,61.688,62.351,61.566,61.663,61.977,61.977
Belgium,BEL,"Life expectancy at birth, total (years)",80.1829268292683,80.5853658536585,80.3853658536585,80.5878048780488,81.2878048780488,80.9926829268293,81.4390243902439,81.4926829268293,81.5951219512195,81.9951219512195,80.6951219512195,81.790243902439,81.6975609756098,81.6975609756098
Benin,BEN,"Life expectancy at birth, total (years)",58.363,58.462,58.716,58.965,59.125,59.377,59.539,59.856,60.14,60.454,60.088,59.821,59.954,59.954
Burkina Faso,BFA,"Life expectancy at birth, total (years)",56.477,57.125,57.619,57.823,58.359,58.845,59.326,59.536,60.047,60.039,59.731,59.27,59.766,59.766
Bangladesh,BGD,"Life expectancy at birth, total (years)",68.638,68.809,69.554,69.565,69.986,70.491,71.09,71.788,72.567,72.806,71.968,72.381,73.698,73.698
Bulgaria,BGR,"Life expectancy at birth, total (years)",73.5121951219512,74.1634146341463,74.3146341463415,74.8609756097561,74.4658536585366,74.6146341463415,74.8121951219512,74.8146341463415,74.9634146341464,75.1121951219512,73.6585365853659,71.4634146341463,74.3609756097561,74.3609756097561
Bahrain,BHR,"Life expectancy at birth, total (years)",78.748,78.89,79.081,79.246,79.328,79.405,79.557,79.689,79.857,80.019,79.174,78.76,79.246,79.246
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",77.073,77.007,77.191,76.33,75.659,76.182,76.808,76.935,77.093,77.241,76.225,75.3,75.293,75.293
Belarus,BLR,"Life expectancy at birth, total (years)",70.4048780487805,70.5536585365854,71.9658536585366,72.4707317073171,72.9707317073171,73.6243902439025,73.8268292682927,74.1292682926829,74.1756097560976,74.2268292682927,72.4572195121951,72.3706829268293,73.1114634146342,73.1114634146342
Bolivia,BOL,"Life expectancy at birth, total (years)",66.162,66.534,66.705,67.021,67.163,67.318,67.628,67.701,67.748,67.841,64.467,63.63,64.928,64.928
Brazil,BRA,"Life expectancy at birth, total (years)",73.182,73.343,73.552,73.918,74.306,74.332,74.442,74.827,75.109,75.338,74.009,72.75,73.425,73.425
Bhutan,BTN,"Life expectancy at birth, total (years)",68.43,68.881,69.326,69.707,70.049,70.343,70.602,70.847,71.129,71.391,71.609,71.815,72.229,72.229
Botswana,BWA,"Life expectancy at birth, total (years)",60.013,60.53,60.8,61.996,62.608,63.818,65.464,66.753,65.422,65.464,65.647,61.141,65.913,65.913
Central African Republic,CAF,"Life expectancy at birth, total (years)",49.255,49.948,50.686,50.902,50.566,52.793,53.46,53.721,54.369,55.025,54.604,53.895,54.477,54.477
Canada,CAN,"Life expectancy at birth, total (years)",81.3221951219512,81.4826829268293,81.6636585365854,81.7448780487805,81.7843902439025,81.8156097560976,81.9248780487805,81.8329268292683,81.8439024390244,82.2239024390244,81.6604878048781,81.5870731707317,81.2956097560976,81.2956097560976
Switzerland,CHE,"Life expectancy at birth, total (years)",82.2463414634147,82.6951219512195,82.6975609756098,82.7975609756098,83.1975609756098,82.8975609756098,83.6024390243903,83.5512195121951,83.7536585365854,83.9048780487805,83.0,83.7512195121951,83.4536585365854,83.4536585365854
Chile,CHL,"Life expectancy at birth, total (years)",78.501,79.11,79.023,79.339,79.473,79.746,80.079,80.35,80.133,80.326,79.377,78.944,79.519,79.519
China,CHN,"Life expectancy at birth, total (years)",75.599,75.903,76.192,76.452,76.717,76.977,77.218,77.248,77.744,77.968,78.077,78.211,78.587,78.587
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",55.023,55.52,56.158,56.748,57.208,57.762,58.06,58.48,58.849,59.319,59.032,58.598,58.916,58.916
Cameroon,CMR,"Life expectancy at birth, total (years)",56.582,57.133,57.792,58.476,58.935,59.658,60.233,60.81,61.18,61.584,60.833,60.333,60.958,60.958
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",56.417,57.069,57.248,57.762,58.296,58.49,59.066,59.411,59.942,60.276,59.739,59.193,59.743,59.743
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",61.683,61.992,62.317,62.695,62.95,63.233,63.577,63.76,64.053,62.747,63.785,63.519,63.053,63.053
Colombia,COL,"Life expectancy at birth, total (years)",75.033,75.32,75.597,75.827,76.043,76.257,76.471,76.646,76.748,76.752,74.769,72.83,73.659,73.659
Comoros,COM,"Life expectancy at birth, total (years)",61.123,61.503,61.834,62.224,62.516,62.896,63.237,63.625,63.912,64.068,64.166,63.417,63.68,63.68
Cabo Verde,CPV,"Life expectancy at birth, total (years)",73.499,74.257,74.484,75.059,75.24,74.62,75.742,76.593,75.733,76.004,74.808,74.052,74.722,74.722
Costa Rica,CRI,"Life expectancy at birth, total (years)",78.67,79.348,79.283,79.403,78.774,79.086,79.459,79.377,79.484,79.427,79.277,77.023,77.32,77.32
Cuba,CUB,"Life expectancy at birth, total (years)",77.661,77.76,77.833,77.87,77.853,77.772,77.643,77.529,77.496,77.611,77.567,73.683,78.155,78.155
Cyprus,CYP,"Life expectancy at birth, total (years)",79.665,79.999,80.109,80.402,80.771,80.966,81.056,81.328,81.382,81.397,81.391,81.203,81.889,81.889
Czechia,CZE,"Life expectancy at birth, total (years)",77.4243902439025,77.8731707317073,78.0756097560976,78.1756097560976,78.8243902439024,78.5780487804878,79.0268292682927,78.9780487804878,79.0292682926829,79.2292682926829,78.1756097560976,77.2219512195122,79.0292682926829,79.0292682926829
Germany,DEU,"Life expectancy at birth, total (years)",79.9878048780488,80.4365853658537,80.5390243902439,80.490243902439,81.090243902439,80.6414634146341,80.990243902439,80.9926829268293,80.8926829268293,81.2926829268293,81.0414634146342,80.790243902439,80.7056097560976,80.7056097560976
Djibouti,DJI,"Life expectancy at birth, total (years)",60.259,60.433,60.848,61.221,61.641,61.957,62.191,62.797,63.038,63.085,62.694,62.305,62.859,62.859
Denmark,DNK,"Life expectancy at birth, total (years)",79.1,79.8,80.0512195121951,80.3,80.7,80.7024390243902,80.8536585365854,81.1024390243903,80.9536585365854,81.4512195121951,81.6024390243903,81.4048780487805,81.3048780487805,81.3048780487805
Dominican Republic,DOM,"Life expectancy at birth, total (years)",72.093,72.221,72.514,72.713,72.867,72.953,72.987,73.063,73.232,73.577,72.889,72.615,74.17,74.17
Algeria,DZA,"Life expectancy at birth, total (years)",73.808,74.123,74.202,74.615,75.11,75.622,75.732,75.743,76.066,76.474,74.453,76.377,77.129,77.129
Ecuador,ECU,"Life expectancy at birth, total (years)",75.43,75.743,76.062,76.369,76.622,76.789,76.763,76.972,77.094,77.297,72.153,73.67,77.894,77.894
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",69.664,69.88,70.085,70.052,70.415,70.483,70.844,71.302,71.367,71.358,70.99,70.221,70.159,70.159
Eritrea,ERI,"Life expectancy at birth, total (years)",63.787,64.402,64.838,65.067,65.6,66.033,66.289,66.577,67.067,67.3,67.133,66.536,66.604,66.604
Spain,ESP,"Life expectancy at birth, total (years)",81.6268292682927,82.4756097560976,82.4268292682927,83.0780487804878,83.2292682926829,82.8317073170732,83.3292682926829,83.2829268292683,83.4317073170732,83.8317073170732,82.3317073170732,83.2292682926829,83.0829268292683,83.0829268292683
Estonia,EST,"Life expectancy at birth, total (years)",75.4292682926829,76.2292682926829,76.3268292682927,77.1414634146341,77.0341463414634,77.590243902439,77.6414634146342,78.0926829268293,78.2439024390244,78.6463414634147,78.5951219512195,76.9439024390244,77.9439024390244,77.9439024390244
Ethiopia,ETH,"Life expectancy at birth, total (years)",59.73,60.721,61.543,62.373,62.905,63.649,64.392,64.838,65.412,65.838,65.371,64.975,65.645,65.645
Finland,FIN,"Life expectancy at birth, total (years)",79.8707317073171,80.4707317073171,80.6268292682927,80.9756097560976,81.1804878048781,81.4804878048781,81.4292682926829,81.6317073170732,81.7341463414634,81.9829268292683,81.9317073170732,81.8853658536585,81.1878048780488,81.1878048780488
Fiji,FJI,"Life expectancy at birth, total (years)",67.328,67.523,67.552,67.428,67.376,66.844,67.24,67.79,67.81,67.893,67.924,67.114,68.312,68.312
France,FRA,"Life expectancy at birth, total (years)",81.6634146341463,82.1146341463415,81.9682926829268,82.219512195122,82.719512195122,82.3219512195122,82.5731707317073,82.5756097560976,82.6756097560976,82.8268292682927,82.1756097560976,82.3243902439024,82.2292682926829,82.2292682926829
Gabon,GAB,"Life expectancy at birth, total (years)",63.898,64.045,64.587,64.776,64.974,65.46,65.802,66.189,66.306,66.603,66.531,65.821,65.694,65.694
United Kingdom,GBR,"Life expectancy at birth, total (years)",80.4024390243902,80.9512195121951,80.9048780487805,81.0048780487805,81.3048780487805,80.9560975609756,81.1560975609756,81.2560975609756,81.2560975609756,81.4048780487805,80.3512195121951,80.7,82.0585365853659,82.0585365853659
Georgia,GEO,"Life expectancy at birth, total (years)",72.128,72.39,72.412,72.628,73.099,73.297,73.569,73.57,73.341,73.47,72.765,71.694,71.587,71.587
Ghana,GHA,"Life expectancy at birth, total (years)",61.157,61.652,62.081,62.42,63.045,63.175,63.89,64.013,64.122,64.74,64.114,63.795,63.945,63.945
Guinea,GIN,"Life expectancy at birth, total (years)",56.72,57.019,57.406,57.791,57.886,58.134,58.763,59.109,59.349,59.72,59.327,58.892,58.985,58.985
"Gambia, The",GMB,"Life expectancy at birth, total (years)",60.717,61.526,62.096,62.114,62.269,62.494,63.013,62.995,63.04,63.755,62.612,62.083,62.906,62.906
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",56.23,56.967,57.69,58.232,58.61,59.128,59.674,60.066,60.502,60.882,59.999,59.652,59.861,59.861
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",57.878,58.412,58.865,59.224,59.595,60.103,60.479,60.821,61.191,61.644,60.708,60.594,61.19,61.19
Greece,GRC,"Life expectancy at birth, total (years)",80.3878048780488,80.7317073170732,80.6341463414634,81.2853658536585,81.3853658536585,81.0365853658537,81.3878048780488,81.2878048780488,81.7878048780488,81.6390243902439,81.2878048780488,80.0829268292683,80.6365853658537,80.6365853658537
Guatemala,GTM,"Life expectancy at birth, total (years)",70.878,71.177,71.463,71.728,71.964,72.103,72.355,72.551,72.726,73.129,71.797,69.237,68.674,68.674
Guyana,GUY,"Life expectancy at birth, total (years)",66.743,66.982,67.23,67.473,67.882,68.201,68.384,68.667,68.896,69.124,68.486,65.673,65.989,65.989
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",82.9575609756098,83.4119512195122,83.450243902439,83.8312195121951,83.9356097560976,84.2526829268293,84.2114634146342,84.6956097560976,84.869756097561,85.1558536585366,85.4963414634146,85.5326829268293,83.6609756097561,83.6609756097561
Honduras,HND,"Life expectancy at birth, total (years)",71.088,71.439,71.734,71.963,72.259,72.487,72.588,72.692,72.814,72.881,71.462,70.123,70.728,70.728
Croatia,HRV,"Life expectancy at birth, total (years)",76.4756097560976,76.7756097560976,76.9243902439024,77.1268292682927,77.4780487804878,77.2756097560976,78.0219512195122,77.8268292682927,78.0707317073171,78.4243902439025,77.7243902439024,76.4243902439025,77.5756097560976,77.5756097560976
Haiti,HTI,"Life expectancy at birth, total (years)",46.019,61.623,62.291,62.605,62.987,63.237,63.392,63.854,64.019,64.255,64.052,63.192,63.728,63.728
Hungary,HUN,"Life expectancy at birth, total (years)",74.2073170731707,74.8585365853659,75.0634146341463,75.5658536585366,75.7634146341463,75.5682926829269,76.0634146341464,75.8170731707317,76.0658536585366,76.3195121951219,75.5682926829269,74.1634146341463,76.0170731707317,76.0170731707317
Indonesia,IDN,"Life expectancy at birth, total (years)",68.679,68.823,68.973,69.264,69.533,69.699,69.798,69.936,70.338,70.518,68.808,67.57,68.25,68.25
India,IND,"Life expectancy at birth, total (years)",66.909,67.359,67.887,68.46,69.074,69.636,70.117,70.467,70.71,70.91,70.15,67.24,67.744,67.744
Ireland,IRL,"Life expectancy at birth, total (years)",80.7439024390244,80.7463414634146,80.8463414634146,80.9487804878049,81.3487804878049,81.4536585365854,81.6536585365854,82.1560975609756,82.2048780487805,82.7024390243903,82.5560975609756,82.3536585365854,83.0560975609756,83.0560975609756
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",73.069,73.679,74.186,74.449,74.782,75.124,75.6,75.971,76.195,76.103,74.832,73.875,74.556,74.556
Iraq,IRQ,"Life expectancy at birth, total (years)",67.062,67.659,68.023,68.253,68.914,69.44,68.988,70.413,71.514,71.576,69.123,70.378,71.336,71.336
Iceland,ISL,"Life expectancy at birth, total (years)",81.8975609756097,82.3585365853659,82.9170731707317,82.0609756097561,82.8609756097561,82.4682926829268,82.2048780487805,82.6609756097561,82.8609756097561,83.1634146341463,83.0634146341463,83.1658536585366,82.1707317073171,82.1707317073171
Israel,ISR,"Life expectancy at birth, total (years)",81.6024390243903,81.6560975609756,81.7048780487805,82.0560975609756,82.1536585365854,82.0512195121951,82.4073170731707,82.5512195121951,82.8024390243903,82.8048780487805,82.6487804878049,82.5,82.7,82.7
Italy,ITA,"Life expectancy at birth, total (years)",82.0365853658537,82.1878048780488,82.2390243902439,82.690243902439,83.090243902439,82.5439024390244,83.2439024390244,82.9463414634147,83.3463414634146,83.4975609756098,82.1951219512195,82.6463414634146,82.9,82.9
Jamaica,JAM,"Life expectancy at birth, total (years)",72.622,73.094,73.433,73.412,72.982,72.394,72.02,71.911,71.793,71.767,71.869,70.5,70.629,70.629
Jordan,JOR,"Life expectancy at birth, total (years)",74.0,74.189,74.366,74.562,74.789,75.011,75.215,75.502,75.774,76.044,75.184,74.256,74.215,74.215
Japan,JPN,"Life expectancy at birth, total (years)",82.8426829268293,82.5912195121951,83.0960975609756,83.3319512195122,83.5878048780488,83.7939024390244,83.9848780487805,84.099756097561,84.2109756097561,84.3563414634146,84.56,84.4456097560976,83.9963414634146,83.9963414634146
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",68.45,68.69,69.52,70.62,71.44,71.97,72.41,72.95,73.15,73.18,71.37,70.23,74.44,74.44
Kenya,KEN,"Life expectancy at birth, total (years)",60.649,61.046,61.115,61.389,61.816,61.892,62.163,62.481,62.676,62.943,62.675,61.427,62.055,62.055
